[[-380.0801616107989], [258.8118856018895], [83.16730631094879]]
[[-380.07640595550856], [258.2453559650045], [83.16754889745334]]
[[-380.0726503864428], [257.67883933481636], [83.16779147838838]]
[[-380.06889490359833], [257.1123357108771], [83.16803405375435]]
[[-380.06513950697257], [256.54584509273906], [83.16827662355115]]
[[-380.0613841965619], [255.9793674799539], [83.16851918777911]]
[[-380.05762897236406], [255.41290287207426], [83.16876174643846]]
[[-380.05387383437557], [254.84645126865212], [83.16900429952932]]
[[-380.05011878259376], [254.2800126692395], [83.16924684705191]]
[[-380.0463638170154], [253.7135870733889], [83.16948938900623]]
[[-380.04260893763785], [253.14717448065227], [83.16973192539285]]
[[-380.03885414445784], [252.580774890582], [83.16997445621166]]
[[-380.03509943747264], [252.0143883027303], [83.170216981463]]
[[-380.03134481667905], [251.44801471664954], [83.17045950114709]]
[[-380.0275902820743], [250.88165413189202], [83.17070201526383]]
[[-380.02383583365537], [250.31530654801], [83.17094452381389]]
[[-380.02008147141913], [249.74897196455572], [83.17118702679704]]
[[-380.0163271953628], [249.18265038108188], [83.17142952421375]]
